dep,sn,n,p id
1,CE,Civil Engineering,1
2,EEE,Electronics & Electrical Engineering,1
3,ME,Mechanical Engineering,1
4,ECE,Electronics & Communication Engineering,1
5,CSE,Computer Science Engineering,1
7,AME,Automobile Engineering,1
8,CHE,Chemical Engineering,1
1,ES, Engineering Structures,2
1,CTM, Construction Technology & Management,2
1,GE,Geotechnical Engineering,2
1,TE,Transportation Engineering,2
1,EE,Environmental Engineering,2
1,RS&GIS,Remote Sensing & GIS,2
1,WRE,Water Resource Engineering,2
1,OSS,Offshore Structures,2
8,ENE,Energy Engineering,2
8,PCI,Process Control & Instrumentation,2
5,CS,Computer Science,2
5,IT,Information Technology,2
5,IS,Information Security,2
5,SE,Software Engineering,2
5,DC,Distributed Computing,2
5,IM,Image Processing,2
2,PE&D,Power Electronics & Drives,2
2,PSE,Power Systems Engineering,2
2,I&CS,Instrumentation & Control Systems,2
2,CCIP,Computer Controlled Industrial Power,2
3,THE,Thermal Engineering,2
3,CIM,Computer Integrated Manufacturing,2
3,MFE,Manufacturing Engineering,2
3,MT, Material Technology,2
3,IE, Industrial Engineering,2
3,PDE,Product Design and Development,2
3,ISE,Industrial Safety Engineering,2
4,ACE,Advanced Communication Systems,2
4,VLSI,VLSI System Design,2
4,SP,Signal Processing,2
4,EI,Electronic Instrumentation,2
