code,sub_c,sn,n,dep,program,Regulation,Semester,istheory,ispractical,L,T,P,IM,EM,Cr
14211001,BS,M1,Mathematics-1,6,UG,R-14,I YEAR,1,0,3,1,0,30,70,5
14211002,BS,M2,Mathematics-2,6,UG,R-14,I YEAR,1,0,3,1,0,30,70,5
14221003,BS,PHY,Engineering Physics,6,UG,R-14,I YEAR,1,0,2,0,0,30,70,3
14231004,BS,CHE,Engineering Chemistry,6,UG,R-14,I YEAR,1,0,2,0,0,30,70,3
14241005,HS,ENG,English,6,UG,R-14,I YEAR,1,0,2,0,0,30,70,3
14031006,ED,ED,Engineering Drawing,3,UG,R-14,I YEAR,1,0,1,0,3,30,70,5
14051007,ED,C,Problem Solving & Programming in C,5,UG,R-14,I YEAR,1,0,3,0,0,30,70,5
14991008,ED,EW,Engineering Workshop,3,UG,R-14,I YEAR,0,1,0,0,3,50,50,4
14051009,ED,C LAB,Programming in C Lab,5,UG,R-14,I YEAR,0,0,0,0,3,50,50,4
14991010,BS,ES LAB,Engineering Sciences Lab,6,UG,R-14,I YEAR,0,1,0,0,3,50,50,4
14241011,HS,ELCS LAB,English Language and Communication Skills Lab,6,UG,R-14,I YEAR,0,1,0,0,3,50,50,4
14042101,PN,ED&S,Electronic Devices & Circuits,4,UG,R-15,III SEM,1,0,3,1,0,30,70,3
14052102,PJ,DS,Data Structures,5,UG,R-14,III SEM,1,0,3,1,0,30,70,3
14052103,PJ,DLD,Digital Logic Design,5,UG,R-14,III SEM,1,0,3,1,0,30,70,3
14052104,PJ,MFCS,Mathematical Foundations of Computer Science,6,UG,R-14,III SEM,1,0,3,1,0,30,70,3
14122105,PN,EE,Electrical Engineering,2,UG,R-14,III SEM,1,0,3,1,0,30,70,3
14052106,PJ,OOPS,Object Oriented Programming through C++,5,UG,R-14,III SEM,1,0,3,1,0,30,70,3
14052107,PJ,OOPS&DS LAB,Object Oriented Programming & Data Structures Lab,5,UG,R-14,III SEM,0,1,0,0,3,50,50,2
14992108,PN,EEE LAB,Electrical & Electronics Engineering Lab,2,UG,R-14,III SEM,0,1,0,0,3,50,50,2
14212201,HS,P&S,Probability & Statistics,6,UG,R-14,IV SEM,1,0,3,1,0,30,70,3
14012202,HS,ES ,Environmental Studies,6,UG,R-14,IV SEM,1,0,4,0,0,30,70,3
14052203,PJ,DBMS,Database Management Systems,5,UG,R-14,IV SEM,1,0,3,1,0,30,70,3
14052204,PJ,FLAT,Formal Languages & Automata Theory,5,UG,R-14,IV SEM,1,0,3,1,0,30,70,3
14052205,PJ,JAVA,Java Programming,5,UG,R-14,IV SEM,1,0,3,1,0,30,70,3
14052206,PJ,CO,Computer Organization,5,UG,R-14,IV SEM,1,0,4,0,0,30,70,3
14052207,PJ,DBMS LAB,Database Management Systems Lab,5,UG,R-14,IV SEM,0,1,0,0,3,50,50,2
14052208,PJ,JAVA LAB,Java Programming Lab,5,UG,R-14,IV SEM,0,1,0,0,3,50,50,2
14053101,PJ,OS,Operating Systems,5,UG,R-14,V SEM,1,0,3,1,0,30,70,3
14053102,PJ,CN,Computer Networks,5,UG,R-14,V SEM,1,0,4,0,0,30,70,3
14053103,PJ,SE,Software Engineering,5,UG,R-14,V SEM,1,0,4,0,0,30,70,3
14053104,PJ,CD,Compiler Design,5,UG,R-14,V SEM,1,0,3,1,0,30,70,3
14053105,PJ,CG,Computer Graphics,5,UG,R-14,V SEM,1,0,3,1,0,30,70,3
14043106,PN,MPI,Micro Processors & Interfacing,4,UG,R-14,V SEM,1,0,4,0,0,30,70,3
14253107,HS,HVPE,Human Values & Professional Ethics (Audit Course),6,UG,R-14,V SEM,1,0,2,0,0,30,70,3
14053108,PJ,CN&OS LAB,Computer Networks & Operating System Lab,5,UG,R-14,V SEM,0,1,0,0,3,50,50,2
14043109,PN,MP LAB,Micro Processors Lab,4,UG,R-14,V SEM,0,1,0,0,3,50,50,2
14053201,PJ,OOAD,Object Oriented Analysis & Design,5,UG,R-14,VI SEM,1,0,4,0,0,30,70,3
14053202,PJ,DAA,Design & Analysis of Algorithms,5,UG,R-14,VI SEM,1,0,3,1,0,30,70,3
14053203,PJ,WT,Web Technologies,5,UG,R-14,VI SEM,1,0,4,0,0,30,70,3
14053204,PJ,MAD,Mobile Application Development,5,UG,R-14,VI SEM,1,0,3,1,0,30,70,3
14053207,PJ,ACA,Advanced Computer Architecture,5,UG,R-14,VI SEM,1,0,4,0,0,30,70,3
14053206,PJ,WSN, Wireless Sensor Networks    ,5,UG,R-14,VI SEM,1,0,4,0,0,30,70,3
14053208,PJ,MS,Multimedia Systems,5,UG,R-14,VI SEM,1,0,4,0,0,30,70,3
14243209,HS,AECS LAB,Advanced English & Communication Skills Lab,6,UG,R-14,VI SEM,1,0,0,0,3,50,50,2
14053210,PJ,WT LAB,Web Technologies lab,5,UG,R-14,VI SEM,1,0,0,0,3,50,50,2
14254101,HS,MEFA,Managerial Economics & Financial Analysis,6,UG,R-14,VII SEM,1,0,4,0,0,30,70,3
14054102,PJ,DW&DM,Data Warehousing & Data Mining,5,UG,R-14,VII SEM,1,0,4,0,0,30,70,3
14054103,PJ,CC,Cloud Computing,5,UG,R-14,VII SEM,1,0,3,1,0,30,70,3
14054104,PJ,MAD,Mobile Application Development,5,UG,R-14,VII SEM,1,0,3,1,0,30,70,3
14054106,PJ,DIP, Digital Image Processing  ,5,UG,R-14,VII SEM,1,0,4,0,0,30,70,3
14054105,PJ,ST,Software Testing ,5,UG,R-14,VII SEM,1,0,4,0,0,30,70,3
14054107,PJ,SA,Software Architecture,5,UG,R-14,VII SEM,1,0,4,0,0,30,70,3
14054109,PJ,C&NS,Cryptography & Network Security,5,UG,R-14,VII SEM,1,0,4,0,0,30,70,3
14054108,PJ,IRS, Information Retrieval System,5,UG,R-14,VII SEM,1,0,4,0,0,30,70,3
14054110,PJ,SOA,Service Oriented Architecture,5,UG,R-14,VII SEM,1,0,4,0,0,30,70,3
